entity,iso_code,year,population
Austria,AUT,2020,7358443
Belgium,BEL,2020,9202196
Bulgaria,BGR,2020,5761802
Croatia,HRV,2020,3360840
Cyprus,CYP,2020,717452
Czechia,CZE,2020,8694474
Denmark,DNK,2020,4666625
Estonia,EST,2020,1071932
Finland,FIN,2020,4476235
France,FRA,2020,52780048
Germany,DEU,2020,69488809
Greece,GRC,2020,8864187
Hungary,HUN,2020,8060478
Ireland,IRL,2020,3762805
Italy,ITA,2020,50208329
Latvia,LVA,2020,1893223
Lithuania,LTU,2020,2295269
Luxembourg,LUX,2020,506569
Malta,MLT,2020,432616
Netherlands,NLD,2020,14070340
Poland,POL,2020,31044901
Portugal,PRT,2020,8578859
Romania,ROU,2020,15684219
Slovakia,SVK,2020,4437897
Slovenia,SVN,2020,1724466
Spain,ESP,2020,39006858
Sweden,SWE,2020,8147081
European Union,OWID_EUN,2020,447007596
United Kingdom,UK,2020,55915637
United States,USA,2020,209128094
Norway,NO,2020,4248972
Iceland,IS,2020,282770
Switzerland,CH,2020,7124727
