date,location,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
2020-12-29,Bulgaria,Pfizer/BioNTech,1719,https://www.dnes.bg/politika/2020/12/29/prof-angelov-1719-vaksinirani-do-momenta-ima-vse-poveche-jelaeshti.474821,1719,
2020-12-30,Bulgaria,Pfizer/BioNTech,4608,https://coronavirus.bg/bg/statistika,4608,
2021-01-01,Bulgaria,Pfizer/BioNTech,4739,https://coronavirus.bg/bg/statistika,4739,
2021-01-05,Bulgaria,Pfizer/BioNTech,5448,https://coronavirus.bg/bg/statistika,5448,
2021-01-06,Bulgaria,Pfizer/BioNTech,7913,https://coronavirus.bg/bg/statistika,7913,
2021-01-07,Bulgaria,Pfizer/BioNTech,11117,https://coronavirus.bg/bg/statistika,11117,
2021-01-08,Bulgaria,Pfizer/BioNTech,13355,https://coronavirus.bg/bg/statistika,13355,
2021-01-09,Bulgaria,Pfizer/BioNTech,13473,https://coronavirus.bg/bg/statistika,13473,
2021-01-11,Bulgaria,Pfizer/BioNTech,14161,https://coronavirus.bg/bg/statistika,14161,
2021-01-12,Bulgaria,Pfizer/BioNTech,15780,https://coronavirus.bg/bg/statistika,15780,
2021-01-13,Bulgaria,Pfizer/BioNTech,17038,https://coronavirus.bg/bg/statistika,17038,
2021-01-14,Bulgaria,Pfizer/BioNTech,17686,https://coronavirus.bg/bg/statistika,17686,
2021-01-15,Bulgaria,"Moderna, Pfizer/BioNTech",18126,https://coronavirus.bg/bg/statistika,18126,
2021-01-16,Bulgaria,"Moderna, Pfizer/BioNTech",18332,https://coronavirus.bg/bg/statistika,18332,
2021-01-17,Bulgaria,"Moderna, Pfizer/BioNTech",18453,https://coronavirus.bg/bg/statistika,18453,
2021-01-18,Bulgaria,"Moderna, Pfizer/BioNTech",19638,https://coronavirus.bg/bg/statistika,18524,1114.0
2021-01-19,Bulgaria,"Moderna, Pfizer/BioNTech",22226,https://coronavirus.bg/bg/statistika,19058,3168.0
2021-01-20,Bulgaria,"Moderna, Pfizer/BioNTech",24127,https://coronavirus.bg/bg/statistika,19834,4293.0
2021-01-21,Bulgaria,"Moderna, Pfizer/BioNTech",25251,https://coronavirus.bg/bg/statistika,20719,4532.0
2021-01-22,Bulgaria,"Moderna, Pfizer/BioNTech",26101,https://coronavirus.bg/bg/statistika,21496,4605.0
2021-01-23,Bulgaria,"Moderna, Pfizer/BioNTech",26119,https://coronavirus.bg/bg/statistika,21509,4610.0
2021-01-24,Bulgaria,"Moderna, Pfizer/BioNTech",26143,https://coronavirus.bg/bg/statistika,21533,4610.0
2021-01-25,Bulgaria,"Moderna, Pfizer/BioNTech",26798,https://coronavirus.bg/bg/statistika,22129,4669.0
2021-01-26,Bulgaria,"Moderna, Pfizer/BioNTech",29122,https://coronavirus.bg/bg/statistika,23667,5455.0
2021-01-27,Bulgaria,"Moderna, Pfizer/BioNTech",32917,https://coronavirus.bg/bg/statistika,25245,7672.0
2021-01-28,Bulgaria,"Moderna, Pfizer/BioNTech",37636,https://coronavirus.bg/bg/statistika,26753,10883.0
2021-01-29,Bulgaria,"Moderna, Pfizer/BioNTech",40805,https://coronavirus.bg/bg/statistika,27856,12949.0
2021-01-30,Bulgaria,"Moderna, Pfizer/BioNTech",41020,https://coronavirus.bg/bg/statistika,27957,13063.0
2021-01-31,Bulgaria,"Moderna, Pfizer/BioNTech",41125,https://coronavirus.bg/bg/statistika,28041,13084.0
2021-02-01,Bulgaria,"Moderna, Pfizer/BioNTech",42634,https://coronavirus.bg/bg/statistika,28978,13656.0
2021-02-02,Bulgaria,"Moderna, Pfizer/BioNTech",45917,https://coronavirus.bg/bg/statistika,30817,15100.0
2021-02-03,Bulgaria,"Moderna, Pfizer/BioNTech",50124,https://coronavirus.bg/bg/statistika,33691,16433.0
2021-02-04,Bulgaria,"Moderna, Pfizer/BioNTech",54025,https://coronavirus.bg/bg/statistika,36929,17096.0
2021-02-05,Bulgaria,"Moderna, Pfizer/BioNTech",56860,https://coronavirus.bg/bg/statistika,39468,17392.0
2021-02-06,Bulgaria,"Moderna, Pfizer/BioNTech",57016,https://coronavirus.bg/bg/statistika,39624,17392.0
2021-02-07,Bulgaria,"Moderna, Pfizer/BioNTech",57038,https://coronavirus.bg/bg/statistika,39646,17392.0
2021-02-08,Bulgaria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",58888,https://coronavirus.bg/bg/statistika,41407,17481.0
2021-02-09,Bulgaria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",62428,https://coronavirus.bg/bg/statistika,44482,17946.0
2021-02-10,Bulgaria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",66163,https://coronavirus.bg/bg/statistika,47551,18612.0
2021-02-11,Bulgaria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",71123,https://coronavirus.bg/bg/statistika,51435,19688.0
