date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location
2021-01-06,3901.0,3901.0,,
2021-01-07,,,,
2021-01-08,,,,
2021-01-09,,,,
2021-01-10,6035.0,6035.0,,
2021-01-11,,,,
2021-01-12,,,,
2021-01-13,,,,
2021-01-14,,,,
2021-01-15,,,,
2021-01-16,10226.0,10226.0,,
2021-01-17,,,,
2021-01-18,,,,
2021-01-19,,,,
2021-01-20,,,,
2021-01-21,,,,
2021-01-22,,,,
2021-01-23,17739.0,15322.0,2057.0,
2021-01-24,,,,
2021-01-25,,,,
2021-01-26,,,,
2021-01-27,,,,
2021-01-28,,,,
2021-01-29,,,,
2021-01-30,25519.0,19618.0,5551.0,
2021-01-31,,,,
2021-02-01,,,,
2021-02-02,,,,
2021-02-03,,,,
2021-02-04,,,,
2021-02-05,,,,
2021-02-06,32837.0,22813.0,10024.0,
2021-02-07,,,,
2021-02-08,,,,
2021-02-09,,,,
2021-02-10,,,,
2021-02-11,,,,
2021-02-12,,,,
2021-02-13,44429.0,29592.0,14837.0,
2021-02-14,,,,
2021-02-15,,,,
2021-02-16,,,,
2021-02-17,,,,
2021-02-18,,,,
2021-02-19,,,,
2021-02-20,56791.0,37570.0,19221.0,
2021-02-21,,,,
2021-02-22,,,,
2021-02-23,64562.0,44239.0,20323.0,
2021-02-24,,,,
2021-02-25,,,,
2021-02-26,76176.0,53617.0,22559.0,
2021-02-27,,,,
2021-02-28,,,,
2021-03-01,,,,
2021-03-02,,,,
2021-03-03,,,,
2021-03-04,,,,
2021-03-05,,,,
2021-03-06,,,,
2021-03-07,99275.0,70534.0,28741.0,
2021-03-08,,,,
2021-03-09,,,,
2021-03-10,,,,
2021-03-11,,,,
2021-03-12,,,,
2021-03-13,,,,
2021-03-14,,,,
2021-03-15,,,,
2021-03-16,,,,
2021-03-17,,,,
2021-03-18,,,,
2021-03-19,,,,
2021-03-20,129438.0,93475.0,35963.0,
2021-03-21,,,,
2021-03-22,,,,
2021-03-23,,,,
2021-03-24,,,,
2021-03-25,,,,
2021-03-26,,,,
2021-03-27,,,,
2021-03-28,,,,
2021-03-29,,,,
2021-03-30,,,,
2021-03-31,,,,
2021-04-01,,,,
2021-04-02,,,,
2021-04-03,161526.0,114660.0,46866.0,
2021-04-04,,,,
2021-04-05,,,,
2021-04-06,,,,
2021-04-07,174626.0,124165.0,50461.0,
2021-04-08,,,,
2021-04-09,183225.0,130937.0,52288.0,
2021-04-10,,,,
2021-04-11,,,,
2021-04-12,,,,
2021-04-13,,,,
2021-04-14,,,,
2021-04-15,,,,
2021-04-16,202441.0,145357.0,57084.0,
2021-04-17,,,,
2021-04-18,,,,
2021-04-19,214675.0,156682.0,57993.0,
2021-04-20,219654.0,161389.0,58265.0,
2021-04-21,224352.0,165558.0,58794.0,
2021-04-22,,,,
2021-04-23,236265.0,176082.0,60183.0,Cyprus
2021-05-01,287816.0,218323.0,69463.0,Cyprus
