date,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,location
2020-12-27,54188.0,22.0,0.0,54207.0,European Union
2020-12-28,91318.0,114.0,0.0,92517.0,European Union
2020-12-29,180509.0,791.0,1.0,182365.0,European Union
2020-12-30,324303.0,852.0,1.0,326196.0,European Union
2020-12-31,429629.0,955.0,1.0,431610.0,European Union
2021-01-01,472835.0,971.0,2.0,474831.0,European Union
2021-01-02,575784.0,1066.0,2.0,577859.0,European Union
2021-01-03,679434.0,1078.0,3.0,682111.0,European Union
2021-01-04,950398.0,1270.0,4.0,953184.0,European Union
2021-01-05,1259600.0,1443.0,4.0,1262498.0,European Union
2021-01-06,1508224.0,1600.0,5.0,1511223.0,European Union
2021-01-07,1881534.0,1848.0,5.0,1884741.0,European Union
2021-01-08,2276381.0,2057.0,5.0,2279715.0,European Union
2021-01-09,2508087.0,2248.0,5.0,2511587.0,European Union
2021-01-10,2679177.0,2377.0,7.0,2685818.0,European Union
2021-01-11,3116167.0,2686.0,7.0,3123055.0,European Union
2021-01-12,3555434.0,2852.0,7.0,3562422.0,European Union
2021-01-13,4094655.0,3333.0,7.0,4101998.0,European Union
2021-01-14,4610099.0,3722.0,7.0,4617708.0,European Union
2021-01-15,5172497.0,5276.0,9.0,5181600.0,European Union
2021-01-16,5427492.0,6615.0,9.0,5437916.0,European Union
2021-01-17,5741584.0,35134.0,14.0,5796280.0,European Union
2021-01-18,6294989.0,72445.0,19.0,6385815.0,European Union
2021-01-19,6756379.0,149418.0,27.0,6924090.0,European Union
2021-01-20,7214876.0,256706.0,30.0,7489794.0,European Union
2021-01-21,7684002.0,387235.0,49.0,8089348.0,European Union
2021-01-22,8197366.0,478989.0,59.0,8705019.0,European Union
2021-01-23,8469504.0,577920.0,60.0,9076424.0,European Union
2021-01-24,8797635.0,683124.0,60.0,9517739.0,European Union
2021-01-25,9066857.0,890846.0,98.0,9984038.0,European Union
2021-01-26,9393116.0,1157326.0,134.0,10584567.0,European Union
2021-01-27,9733814.0,1394007.0,148.0,11176806.0,European Union
2021-01-28,10068592.0,1715110.0,171.0,11850222.0,European Union
2021-01-29,10357533.0,2016451.0,205.0,12470213.0,European Union
2021-01-30,10721827.0,2252686.0,219.0,13010691.0,European Union
2021-01-31,10989061.0,2540284.0,219.0,13573593.0,European Union
2021-02-01,11197275.0,2889166.0,264.0,14120402.0,European Union
2021-02-02,11463290.0,3282439.0,310.0,14779659.0,European Union
2021-02-03,11743010.0,3750544.0,426.0,15527507.0,European Union
2021-02-04,12051388.0,4238187.0,456.0,16323382.0,European Union
2021-02-05,12318050.0,4673486.0,529.0,17025329.0,European Union
2021-02-06,12647180.0,4889760.0,533.0,17570355.0,European Union
2021-02-07,12838909.0,5204097.0,533.0,18085173.0,European Union
2021-02-08,13014923.0,5470780.0,575.0,18527831.0,European Union
2021-02-09,13328574.0,5826033.0,623.0,19195717.0,European Union
2021-02-10,13613839.0,6168423.0,635.0,19823308.0,European Union
2021-02-11,14084894.0,6643111.0,697.0,20770052.0,European Union
2021-02-12,14453685.0,7080435.0,744.0,21576105.0,European Union
2021-02-13,14793190.0,7337454.0,753.0,22172617.0,European Union
2021-02-14,15090550.0,7606603.0,753.0,22746605.0,European Union
2021-02-15,15386617.0,7876650.0,764.0,23312347.0,European Union
2021-02-16,15738182.0,8173388.0,792.0,23960620.0,European Union
2021-02-17,16212199.0,8537473.0,819.0,24798622.0,European Union
2021-02-18,16830138.0,8935224.0,842.0,25814141.0,European Union
2021-02-19,17387290.0,9280296.0,888.0,26716259.0,European Union
2021-02-20,17884990.0,9496191.0,892.0,27429802.0,European Union
2021-02-21,18387715.0,9722145.0,894.0,28165048.0,European Union
2021-02-22,18851638.0,9928332.0,946.0,28834526.0,European Union
2021-02-23,19377956.0,10146491.0,976.0,29578850.0,European Union
2021-02-24,20162012.0,10455270.0,981.0,30671676.0,European Union
2021-02-25,20876071.0,10706468.0,1085.0,31636858.0,European Union
2021-02-26,21769206.0,11068661.0,1206.0,32892120.0,European Union
2021-02-27,22487863.0,11285416.0,1221.0,33827478.0,European Union
2021-02-28,23201948.0,11474827.0,1241.0,34736801.0,European Union
2021-03-01,23843458.0,11647229.0,1268.0,35550052.0,European Union
2021-03-02,24595254.0,11852600.0,1309.0,36507099.0,European Union
2021-03-03,25547084.0,12186945.0,1345.0,37793167.0,European Union
2021-03-04,26690449.0,12553924.0,1395.0,39303360.0,European Union
2021-03-05,27742289.0,12835152.0,1430.0,40636222.0,European Union
2021-03-06,28742032.0,13115134.0,1438.0,41915817.0,European Union
2021-03-07,29706685.0,13316889.0,1439.0,43087688.0,European Union
2021-03-08,30507671.0,13552079.0,1452.0,44123328.0,European Union
2021-03-09,31454696.0,13805372.0,1482.0,45323507.0,European Union
2021-03-10,32393735.0,14106417.0,1525.0,46563437.0,European Union
2021-03-11,33630373.0,14573943.0,1567.0,48267371.0,European Union
2021-03-12,34930307.0,14947498.0,1640.0,49940673.0,European Union
2021-03-13,35864296.0,15216827.0,1645.0,51143870.0,European Union
2021-03-14,36635815.0,15389125.0,1654.0,52093486.0,European Union
2021-03-15,37438979.0,15713410.0,1673.0,53220506.0,European Union
2021-03-16,38111696.0,16015477.0,1695.0,54195146.0,European Union
2021-03-17,38814841.0,16428236.0,1716.0,55310792.0,European Union
2021-03-18,39581749.0,16900979.0,1762.0,56550184.0,European Union
2021-03-19,40609363.0,17337326.0,1843.0,58013851.0,European Union
2021-03-20,41371544.0,17674346.0,1846.0,59112920.0,European Union
2021-03-21,42098661.0,17864129.0,1847.0,60035175.0,European Union
2021-03-22,42952443.0,18349617.0,1857.0,61374193.0,European Union
2021-03-23,43955574.0,18721512.0,1868.0,62749078.0,European Union
2021-03-24,45132639.0,19249461.0,1929.0,64454007.0,European Union
2021-03-25,46309842.0,19752530.0,1991.0,66134117.0,European Union
2021-03-26,48027526.0,20484918.0,2047.0,68584071.0,European Union
2021-03-27,48983422.0,20824635.0,2055.0,69879631.0,European Union
2021-03-28,49888917.0,21065905.0,2064.0,71031505.0,European Union
2021-03-29,51065489.0,21474891.0,2092.0,72616357.0,European Union
2021-03-30,52360398.0,21960588.0,2144.0,74396809.0,European Union
2021-03-31,53806343.0,22496706.0,2182.0,76380036.0,European Union
2021-04-01,55322537.0,23091949.0,2297.0,78491141.0,European Union
2021-04-02,56559195.0,23606222.0,2328.0,80241583.0,European Union
2021-04-03,57788478.0,24054948.0,2382.0,81919316.0,European Union
2021-04-04,58650624.0,24299894.0,2389.0,83029173.0,European Union
2021-04-05,59420624.0,24503828.0,2450.0,84002694.0,European Union
2021-04-06,60682517.0,25030489.0,2544.0,85791062.0,European Union
2021-04-07,62713332.0,25573983.0,2605.0,88365101.0,European Union
2021-04-08,65015697.0,26143143.0,2676.0,91236227.0,European Union
2021-04-09,67293284.0,26807384.0,2839.0,94177671.0,European Union
2021-04-10,69295799.0,27279911.0,2899.0,96652581.0,European Union
2021-04-11,70442763.0,27634676.0,2906.0,98158757.0,European Union
2021-04-12,72224016.0,28066834.0,3011.0,100371559.0,European Union
2021-04-13,74059302.0,28548803.0,3129.0,102688754.0,European Union
2021-04-14,76014028.0,29072259.0,3432.0,105169581.0,European Union
2021-04-15,78410682.0,29715769.0,3905.0,108212540.0,European Union
2021-04-16,80614461.0,30337294.0,4419.0,111040120.0,European Union
2021-04-17,82543356.0,30799436.0,4564.0,113432027.0,European Union
2021-04-18,83916436.0,31157085.0,4628.0,115166757.0,European Union
2021-04-19,85998984.0,31682986.0,5121.0,117775402.0,European Union
2021-04-20,87675860.0,32220202.0,5753.0,119990108.0,European Union
2021-04-21,89797794.0,32968861.0,6659.0,122861837.0,European Union
2021-04-22,91920187.0,33779849.0,7616.0,125795942.0,European Union
2021-04-23,94207932.0,34586022.0,8482.0,128883593.0,European Union
2021-04-24,95765045.0,35120557.0,8790.0,130962220.0,European Union
2021-04-25,97776357.0,35700209.0,8873.0,133521514.0,European Union
2021-04-26,99213255.0,36256636.0,9484.0,135489769.0,European Union
2021-04-27,101417321.0,37189227.0,10533.0,138517507.0,European Union
2021-04-28,103884374.0,38222178.0,12138.0,142053477.0,European Union
2021-04-29,106512060.0,39332741.0,13726.0,145749016.0,European Union
2021-04-30,108647564.0,40172548.0,15102.0,148688239.0,European Union
2021-05-01,110589641.0,40852172.0,15329.0,151247655.0,European Union
2021-05-02,112388243.0,41751431.0,15440.0,153890766.0,European Union
2021-05-03,113926693.0,42509289.0,16356.0,156144148.0,European Union
2021-05-04,115938590.0,43547119.0,17720.0,159157385.0,European Union
2021-05-05,118736431.0,45207743.0,19269.0,163424355.0,European Union
2021-05-06,121395304.0,46731453.0,21230.0,167556429.0,European Union
2021-05-07,123902343.0,48101171.0,22780.0,171374144.0,European Union
2021-05-08,125894158.0,49201517.0,23131.0,174384747.0,European Union
2021-05-09,128008304.0,50126197.0,23396.0,177404008.0,European Union
2021-05-10,129888812.0,51164193.0,24680.0,180270010.0,European Union
2021-05-11,132337352.0,52456364.0,26364.0,183967902.0,European Union
2021-05-12,134910613.0,53800340.0,28163.0,187848008.0,European Union
2021-05-13,137251509.0,55285301.0,28882.0,191612333.0,European Union
2021-05-14,139640719.0,56609046.0,30171.0,195256131.0,European Union
2021-05-15,141810448.0,57869354.0,30635.0,198609656.0,European Union
2021-05-16,143724553.0,58994699.0,30804.0,201605483.0,European Union
2021-05-17,145543259.0,60065782.0,32422.0,204408131.0,European Union
2021-05-18,147818232.0,61412135.0,34494.0,207941798.0,European Union
2021-05-19,150008296.0,62908619.0,37089.0,211567543.0,European Union
2021-05-20,152605435.0,64877875.0,39641.0,216007293.0,European Union
2021-05-21,154963466.0,66627067.0,41841.0,219995464.0,European Union
2021-05-22,156863287.0,68165216.0,42542.0,223311680.0,European Union
2021-05-23,158568668.0,69383186.0,42797.0,226115079.0,European Union
2021-05-24,159884961.0,70365320.0,43464.0,228284895.0,European Union
2021-05-25,161611753.0,71935828.0,45874.0,231475809.0,European Union
2021-05-26,163747804.0,74038303.0,48226.0,235558642.0,European Union
2021-05-27,165782229.0,76198465.0,50631.0,239591176.0,European Union
2021-05-28,167775523.0,78307620.0,52807.0,243476617.0,European Union
2021-05-29,169496045.0,80117919.0,53445.0,246768104.0,European Union
2021-05-30,170970164.0,81730055.0,53626.0,249732618.0,European Union
2021-05-31,172457739.0,83300918.0,55165.0,252500208.0,European Union
2021-06-01,174524947.0,85324070.0,57393.0,256340496.0,European Union
2021-06-02,176873077.0,87595110.0,59527.0,260755807.0,European Union
2021-06-03,178919001.0,89319531.0,61544.0,264366411.0,European Union
2021-06-04,181128864.0,91290086.0,63504.0,268344414.0,European Union
2021-06-05,183154236.0,93311259.0,64212.0,272120362.0,European Union
2021-06-06,185317891.0,95357675.0,64480.0,275999374.0,European Union
2021-06-07,187099119.0,97089994.0,66093.0,279196573.0,European Union
2021-06-08,189209692.0,99281350.0,68088.0,283244400.0,European Union
2021-06-09,191559590.0,101846049.0,70123.0,287884520.0,European Union
2021-06-10,193853551.0,104309088.0,72080.0,292378799.0,European Union
2021-06-11,196021951.0,106647884.0,73785.0,296690313.0,European Union
2021-06-12,198333244.0,108479755.0,74352.0,300695584.0,European Union
2021-06-13,200246675.0,110430964.0,74581.0,304339610.0,European Union
2021-06-14,201685418.0,112328909.0,76134.0,307432281.0,European Union
2021-06-15,203438342.0,114423815.0,77886.0,311080245.0,European Union
2021-06-16,205593440.0,117348899.0,79525.0,315938050.0,European Union
2021-06-17,207568598.0,119842483.0,81257.0,320162326.0,European Union
2021-06-18,209394684.0,122337591.0,82862.0,324348556.0,European Union
2021-06-19,211132441.0,124276523.0,83406.0,327951099.0,European Union
2021-06-20,212875668.0,126509188.0,83573.0,331685416.0,European Union
2021-06-21,214138885.0,128487129.0,84766.0,334698047.0,European Union
2021-06-22,215775408.0,131091436.0,86149.0,338741326.0,European Union
2021-06-23,217595734.0,133939060.0,87409.0,343245593.0,European Union
2021-06-24,219298606.0,136136398.0,88814.0,346964559.0,European Union
2021-06-25,220752779.0,138413786.0,90413.0,350613872.0,European Union
2021-06-26,222584672.0,140923809.0,91063.0,354807298.0,European Union
2021-06-27,224131019.0,143244581.0,91272.0,358444180.0,European Union
2021-06-28,225406143.0,145510386.0,92600.0,361771676.0,European Union
2021-06-29,226927260.0,148039437.0,94859.0,365681840.0,European Union
2021-06-30,228510583.0,150548153.0,97079.0,369684664.0,European Union
2021-07-01,230088367.0,152942563.0,99508.0,373568380.0,European Union
2021-07-02,231391690.0,155315009.0,101888.0,377156462.0,European Union
2021-07-03,233004233.0,157330342.0,102910.0,380604607.0,European Union
2021-07-04,234615595.0,159571560.0,103276.0,384196204.0,European Union
2021-07-05,235949592.0,161971588.0,105030.0,387770321.0,European Union
2021-07-06,237163445.0,164406888.0,107044.0,391335269.0,European Union
2021-07-07,238514715.0,167339158.0,109198.0,395354477.0,European Union
2021-07-08,239683776.0,169918339.0,111536.0,398994739.0,European Union
2021-07-09,240671587.0,172417659.0,114045.0,402394356.0,European Union
2021-07-10,242012467.0,174249316.0,115140.0,405466443.0,European Union
2021-07-11,243376594.0,176603956.0,115501.0,408982349.0,European Union
2021-07-12,244578308.0,179263705.0,117410.0,412648792.0,European Union
2021-07-13,245701600.0,181882023.0,119615.0,416253218.0,European Union
2021-07-14,246822657.0,184406358.0,120317.0,419782428.0,European Union
2021-07-15,248072900.0,187127507.0,122658.0,423568220.0,European Union
