date,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,location,source_url,vaccine
2020-12-28,447,0,0,447,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2020-12-29,1077,0,0,1077,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2020-12-30,1722,0,0,1722,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2020-12-31,2339,0,0,2339,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-01,2603,0,0,2603,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-02,3149,0,0,3149,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-03,3869,0,0,3869,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-04,10327,0,0,10327,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-05,16631,0,0,16631,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-06,20616,0,0,20616,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-07,26445,0,0,26445,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-08,35272,0,0,35272,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-09,40427,0,0,40427,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-10,44645,0,0,44645,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-11,50045,0,0,50045,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-12,56475,0,0,56475,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,Pfizer/BioNTech
2021-01-13,64932,0,0,64932,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-14,70960,0,0,70960,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-15,75412,0,0,75412,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-16,80389,2,0,80391,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-18,85475,423,0,85898,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-19,93382,1072,0,94454,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-20,108167,1664,0,109831,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-21,123667,2261,0,125928,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-22,141298,2579,0,143877,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
2021-01-23,156966,3135,0,160101,Greece,https://www.data.gov.gr/datasets/mdg_emvolio/,"Moderna, Pfizer/BioNTech"
