date,location,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
2020-12-28,Poland,Pfizer/BioNTech,2000,"https://next.gazeta.pl/next/7,173953,26642987,wiemy-ile-osob-zaszczepiono-przeciw-covid-19-w-niedziele-rzecznik.html",2000,
2020-12-29,Poland,Pfizer/BioNTech,6300,https://wiadomosci.radiozet.pl/Koronawirus/Koronawirus-w-Polsce.-Trzeci-dzien-szczepien-przeciw-Covid-19.-Zaszczepili-sie-Grodzki-i-Karczewski,6300,
2020-12-30,Poland,Pfizer/BioNTech,36300,https://twitter.com/MZ_GOV_PL/status/1344557383499055104,36300,
2020-12-31,Poland,Pfizer/BioNTech,47600,https://twitter.com/MZ_GOV_PL/status/1344923704799719424,47600,
2021-01-02,Poland,Pfizer/BioNTech,50391,https://tvn24.pl/polska/szczepienia-ile-osob-zaszczepiono-w-polsce-przeciw-covid-19kiedy-szczepienia-osob-z-kolejnej-grupy-1-4919939,50391,
2021-01-03,Poland,Pfizer/BioNTech,50833,https://twitter.com/MZ_GOV_PL/status/1346074068798332929/photo/1,50833,
2021-01-04,Poland,Pfizer/BioNTech,92220,https://twitter.com/MZ_GOV_PL/status/1346396023334133770/photo/1,92220,
2021-01-05,Poland,Pfizer/BioNTech,140226,https://twitter.com/MZ_GOV_PL/status/1346760607622684673,140226,
2021-01-06,Poland,Pfizer/BioNTech,160359,https://twitter.com/MZ_GOV_PL/status/1347120797895294976,160359,
2021-01-07,Poland,Pfizer/BioNTech,188956,https://twitter.com/szczepimysie/status/1347472053063081984,188956,
2021-01-08,Poland,Pfizer/BioNTech,198787,https://twitter.com/szczepimysie/status/1347840116090408960,198787,
2021-01-09,Poland,Pfizer/BioNTech,200022,https://twitter.com/szczepimysie/status/1348196682756993025,200022,
2021-01-10,Poland,Pfizer/BioNTech,203053,https://twitter.com/szczepimysie/status/1348564252215402498,203053,
2021-01-11,Poland,Pfizer/BioNTech,257834,https://twitter.com/szczepimysie/status/1348930712859242496,257834,
2021-01-12,Poland,Pfizer/BioNTech,309620,https://twitter.com/szczepimysie/status/1349284555627388928,309620,
2021-01-13,Poland,Pfizer/BioNTech,369212,https://twitter.com/szczepimysie/status/1349646581092519936,369212,
2021-01-14,Poland,Pfizer/BioNTech,410480,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,410480,
2021-01-15,Poland,Pfizer/BioNTech,436963,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,436963,
2021-01-16,Poland,Pfizer/BioNTech,457303,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,457303,
2021-01-17,Poland,Pfizer/BioNTech,469466,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,468795,671.0
2021-01-18,Poland,Pfizer/BioNTech,495164,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,491696,3468.0
2021-01-19,Poland,Pfizer/BioNTech,541229,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,530055,11174.0
2021-01-20,Poland,Pfizer/BioNTech,591785,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,566793,24992.0
2021-01-21,Poland,Pfizer/BioNTech,644999,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,605313,39686.0
2021-01-22,Poland,Pfizer/BioNTech,684277,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,638798,45479.0
2021-01-23,Poland,Pfizer/BioNTech,701164,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,654184,46980.0
2021-01-24,Poland,Pfizer/BioNTech,707474,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,659753,47721.0
2021-01-25,Poland,Pfizer/BioNTech,776987,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,701222,75765.0
2021-01-26,Poland,Pfizer/BioNTech,905457,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,782413,123044.0
2021-01-27,Poland,Pfizer/BioNTech,1008253,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,858474,149779.0
2021-01-28,Poland,Pfizer/BioNTech,1097036,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,917908,179128.0
2021-01-29,Poland,Pfizer/BioNTech,1141081,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,945600,195481.0
2021-01-30,Poland,Pfizer/BioNTech,1156931,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,958453,198478.0
2021-01-31,Poland,Pfizer/BioNTech,1176904,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,976367,200537.0
2021-02-01,Poland,Pfizer/BioNTech,1231716,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,998587,233129.0
2021-02-02,Poland,Pfizer/BioNTech,1342435,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,1053245,289190.0
2021-02-03,Poland,Pfizer/BioNTech,1461578,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,1117146,344432.0
2021-02-04,Poland,Pfizer/BioNTech,1566604,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,1171229,395375.0
