date,location,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020-12-27,Romania,Pfizer/BioNTech,https://datelazi.ro/,965,965.0,0.0
2020-12-28,Romania,Pfizer/BioNTech,https://datelazi.ro/,2066,2066.0,0.0
2020-12-29,Romania,Pfizer/BioNTech,https://datelazi.ro/,2778,2778.0,0.0
2020-12-30,Romania,Pfizer/BioNTech,https://datelazi.ro/,5666,5666.0,0.0
2020-12-31,Romania,Pfizer/BioNTech,https://datelazi.ro/,10289,10289.0,0.0
2021-01-01,Romania,Pfizer/BioNTech,https://datelazi.ro/,11656,11656.0,0.0
2021-01-02,Romania,Pfizer/BioNTech,https://datelazi.ro/,13242,13242.0,0.0
2021-01-03,Romania,Pfizer/BioNTech,https://datelazi.ro/,13596,13596.0,0.0
2021-01-04,Romania,Pfizer/BioNTech,https://datelazi.ro/,25508,25508.0,0.0
2021-01-05,Romania,Pfizer/BioNTech,https://datelazi.ro/,41609,41609.0,0.0
2021-01-06,Romania,Pfizer/BioNTech,https://datelazi.ro/,58554,58554.0,0.0
2021-01-07,Romania,Pfizer/BioNTech,https://datelazi.ro/,76400,76400.0,0.0
2021-01-08,Romania,Pfizer/BioNTech,https://datelazi.ro/,92706,92706.0,0.0
2021-01-09,Romania,Pfizer/BioNTech,https://datelazi.ro/,102301,102301.0,0.0
2021-01-10,Romania,Pfizer/BioNTech,https://datelazi.ro/,108294,108294.0,0.0
2021-01-11,Romania,Pfizer/BioNTech,https://datelazi.ro/,125190,125190.0,0.0
2021-01-12,Romania,Pfizer/BioNTech,https://datelazi.ro/,140447,140447.0,0.0
2021-01-13,Romania,Pfizer/BioNTech,https://datelazi.ro/,154268,154268.0,0.0
2021-01-14,Romania,Pfizer/BioNTech,https://datelazi.ro/,154268,154268.0,0.0
2021-01-15,Romania,Pfizer/BioNTech,https://datelazi.ro/,183669,183669.0,0.0
2021-01-16,Romania,Pfizer/BioNTech,https://datelazi.ro/,196090,196090.0,0.0
2021-01-17,Romania,Pfizer/BioNTech,https://datelazi.ro/,204185,203310.0,875.0
2021-01-18,Romania,Pfizer/BioNTech,https://datelazi.ro/,235239,233289.0,1950.0
2021-01-19,Romania,Pfizer/BioNTech,https://datelazi.ro/,270046,267425.0,2621.0
2021-01-20,Romania,Pfizer/BioNTech,https://datelazi.ro/,308384,302571.0,5813.0
2021-01-21,Romania,Pfizer/BioNTech,https://datelazi.ro/,348096,338253.0,9843.0
2021-01-22,Romania,Pfizer/BioNTech,https://datelazi.ro/,385936,374682.0,11254.0
2021-01-23,Romania,Pfizer/BioNTech,https://datelazi.ro/,418885,406007.0,12878.0
2021-01-24,Romania,Pfizer/BioNTech,https://datelazi.ro/,446285,433130.0,13155.0
2021-01-25,Romania,Pfizer/BioNTech,https://datelazi.ro/,484631,459568.0,25063.0
2021-01-26,Romania,Pfizer/BioNTech,https://datelazi.ro/,528378,487712.0,40666.0
2021-01-27,Romania,Pfizer/BioNTech,https://datelazi.ro/,570704,513430.0,57274.0
2021-01-28,Romania,Pfizer/BioNTech,https://datelazi.ro/,609396,534347.0,75049.0
2021-01-29,Romania,Pfizer/BioNTech,https://datelazi.ro/,647000,554925.0,92075.0
2021-01-30,Romania,Pfizer/BioNTech,https://datelazi.ro/,672396,571092.0,101304.0
2021-01-31,Romania,Pfizer/BioNTech,https://datelazi.ro/,691415,585219.0,106196.0
2021-02-01,Romania,Pfizer/BioNTech,https://datelazi.ro/,721184,598136.0,123048.0
2021-02-02,Romania,Pfizer/BioNTech,https://datelazi.ro/,748732,610384.0,138348.0
2021-02-03,Romania,Pfizer/BioNTech,https://datelazi.ro/,772202,620177.0,152025.0
2021-02-04,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,794795,629280.0,165515.0
2021-02-05,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,821552,638887.0,182665.0
2021-02-06,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,840812,647691.0,193121.0
2021-02-07,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,856322,656178.0,200144.0
2021-02-08,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,891348,661063.0,230285.0
2021-02-09,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,930155,666943.0,263212.0
2021-02-10,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,970967,671449.0,299518.0
2021-02-11,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,1009421,675234.0,334187.0
2021-02-12,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,1048797,679333.0,369464.0
2021-02-13,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,1084096,683347.0,400749.0
2021-02-14,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,1113975,686635.0,427340.0
2021-02-15,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1151112,696944.0,454168.0
2021-02-16,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1197089,715749.0,481340.0
2021-02-17,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1240408,734929.0,505479.0
2021-02-18,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1280228,753753.0,526475.0
2021-02-19,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1318355,771240.0,547115.0
2021-02-20,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1351279,788508.0,562771.0
2021-02-21,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1379223,803098.0,576125.0
2021-02-22,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1409087,819447.0,589640.0
2021-02-23,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1438432,836860.0,601572.0
2021-02-24,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1466649,855097.0,611552.0
2021-02-25,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1486907,872361.0,614546.0
2021-02-26,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1506032,890068.0,615964.0
2021-02-27,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1521736,905142.0,616594.0
2021-02-28,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/,1532872,915761.0,617111.0
