date,location,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
2021-01-04,Spain,Pfizer/BioNTech,82834,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,82834,
2021-01-05,Spain,Pfizer/BioNTech,139339,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,139339,
2021-01-07,Spain,Pfizer/BioNTech,207323,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,207323,
2021-01-08,Spain,Pfizer/BioNTech,277976,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,277976,
2021-01-11,Spain,Pfizer/BioNTech,406091,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,406091,
2021-01-12,Spain,Pfizer/BioNTech,488122,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,488122,
2021-01-13,Spain,Pfizer/BioNTech,581638,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,581638,
2021-01-14,Spain,Pfizer/BioNTech,676186,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,676186,
2021-01-15,Spain,"Moderna, Pfizer/BioNTech",768950,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,768950,
2021-01-18,Spain,"Moderna, Pfizer/BioNTech",897942,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods,895627,2315.0
2021-01-19,Spain,"Moderna, Pfizer/BioNTech",966097,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210119.ods,956756,9341.0
2021-01-20,Spain,"Moderna, Pfizer/BioNTech",1025937,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210120.ods,1010295,15642.0
2021-01-21,Spain,"Moderna, Pfizer/BioNTech",1103301,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210121.ods,1054245,49056.0
2021-01-22,Spain,"Moderna, Pfizer/BioNTech",1165825,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210122.ods,1097369,68456.0
2021-01-24,Spain,"Moderna, Pfizer/BioNTech",1237593,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210125.ods,1148895,88698.0
2021-01-25,Spain,"Moderna, Pfizer/BioNTech",1291216,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210126.ods,1167519,123697.0
2021-01-26,Spain,"Moderna, Pfizer/BioNTech",1356461,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210127.ods,1183395,173066.0
2021-01-27,Spain,"Moderna, Pfizer/BioNTech",1395618,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210128.ods,1202859,192759.0
2021-01-28,Spain,"Moderna, Pfizer/BioNTech",1474189,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210129.ods,1222323,251866.0
2021-01-31,Spain,"Moderna, Pfizer/BioNTech",1609261,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210201.ods,1251369,357892.0
2021-02-01,Spain,"Moderna, Pfizer/BioNTech",1673054,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210202.ods,1254535,418519.0
2021-02-02,Spain,"Moderna, Pfizer/BioNTech",1764778,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210203.ods,1265800,498978.0
2021-02-03,Spain,"Moderna, Pfizer/BioNTech",1865342,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods,1279220,586122.0
2021-02-04,Spain,"Moderna, Pfizer/BioNTech",1988160,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210205.ods,1305251,682909.0
2021-02-07,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2105033,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210208.ods,1318626,786407.0
2021-02-08,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2167241,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210209.ods,1328459,838782.0
2021-02-09,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2233249,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210210.ods,1343566,889683.0
2021-02-10,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2320507,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210211.ods,1377229,943278.0
2021-02-11,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2423045,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210212.ods,1422560,1000485.0
2021-02-14,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2561608,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210215.ods,1491517,1070091.0
2021-02-15,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2624512,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210216.ods,1527590,1096922.0
2021-02-16,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2690457,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210217.ods,1571277,1119180.0
2021-02-17,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2782751,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210218.ods,1638195,1144556.0
2021-02-18,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2936011,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210219.ods,1764985,1171026.0
2021-02-21,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3090351,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210222.ods,1893290,1197061.0
2021-02-22,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3165191,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210223.ods,1956886,1208305.0
